2021-09-30 14:20:14:457 [thread 18188] [warning] Recording of module file C:\Users\holge\source\repos\XLScanGenerator\newmodule.slm did not complete!
2021-09-30 14:20:14:471 [thread 18188] [warning] Problem occurred while trying to reset execution layer (might already be stopped or in error state): Unsuccessfully tried to disable auto stop during hardware releasing on index 1.
2021-09-30 14:58:16:025 [thread 12044] [warning] Recording of module file C:\Users\holge\source\repos\XLScanGenerator\newmodule.slm did not complete!
2021-09-30 14:58:16:034 [thread 12044] [warning] Problem occurred while trying to reset execution layer (might already be stopped or in error state): Unsuccessfully tried to disable auto stop during hardware releasing on index 1.
2021-09-30 15:20:05:780 [thread 2004] [warning] Recording of module file C:\Users\holge\source\repos\XLScanGenerator\newmodule.slm did not complete!
2021-09-30 15:20:05:788 [thread 2004] [warning] Problem occurred while trying to reset execution layer (might already be stopped or in error state): Unsuccessfully tried to disable auto stop during hardware releasing on index 1.
2021-09-30 16:25:23:866 [thread 15952] [warning] Arc points are collinear, inserting a Line instead!
2021-09-30 16:25:23:867 [thread 15952] [warning] Arc points are collinear, inserting a Line instead!
2021-09-30 16:25:23:868 [thread 15952] [warning] Arc points are collinear, inserting a Line instead!
2021-09-30 16:25:23:868 [thread 15952] [warning] Arc points are collinear, inserting a Line instead!
2021-09-30 16:25:23:868 [thread 15952] [warning] Arc points are collinear, inserting a Line instead!
2021-09-30 16:25:23:868 [thread 15952] [warning] Arc points are collinear, inserting a Line instead!
2021-09-30 16:25:23:869 [thread 15952] [warning] Arc points are collinear, inserting a Line instead!
2021-09-30 16:25:23:870 [thread 15952] [warning] Arc points are collinear, inserting a Line instead!
2021-09-30 16:25:23:870 [thread 15952] [warning] Arc points are collinear, inserting a Line instead!
2021-09-30 16:25:23:870 [thread 15952] [warning] Arc points are collinear, inserting a Line instead!
2021-09-30 16:25:23:870 [thread 15952] [warning] Arc points are collinear, inserting a Line instead!
2021-09-30 16:25:23:874 [thread 15952] [warning] Arc points are collinear, inserting a Line instead!
2021-09-30 16:25:23:874 [thread 15952] [warning] Arc points are collinear, inserting a Line instead!
2021-09-30 16:25:23:875 [thread 15952] [warning] Arc points are collinear, inserting a Line instead!
2021-09-30 16:25:23:875 [thread 15952] [warning] Arc points are collinear, inserting a Line instead!
2021-09-30 16:25:23:875 [thread 15952] [warning] Arc points are collinear, inserting a Line instead!
2021-09-30 16:25:23:876 [thread 15952] [warning] Arc points are collinear, inserting a Line instead!
2021-09-30 16:25:23:879 [thread 15952] [warning] Arc points are collinear, inserting a Line instead!
2021-09-30 16:25:23:884 [thread 15952] [warning] Arc points are collinear, inserting a Line instead!
2021-09-30 16:25:23:884 [thread 15952] [warning] Arc points are collinear, inserting a Line instead!
2021-09-30 16:25:23:884 [thread 15952] [warning] Arc points are collinear, inserting a Line instead!
2021-09-30 16:25:23:884 [thread 15952] [warning] Arc points are collinear, inserting a Line instead!
2021-09-30 16:25:23:885 [thread 15952] [warning] Arc points are collinear, inserting a Line instead!
2021-09-30 16:25:23:885 [thread 15952] [warning] Arc points are collinear, inserting a Line instead!
2021-09-30 16:25:23:885 [thread 15952] [warning] Arc points are collinear, inserting a Line instead!
2021-09-30 16:25:23:885 [thread 15952] [warning] Arc points are collinear, inserting a Line instead!
2021-09-30 16:43:34:666 [thread 4012] [warning] Warning in syncAXIS instance 1: Cannot start execution while already in execution!
2021-09-30 16:43:34:666 [thread 22664] [warning] Warning in syncAXIS instance 1: Cannot start execution while already in execution!
